Model,MAE,RMSE,R²
Baseline AFT,0.0328 ± 0.0031,0.0443 ± 0.0028,-0.1073 ± 0.1400
Optimized AFT (Financial),0.0336 ± 0.0023,0.0455 ± 0.0023,-0.1372 ± 0.1171
