Experiment,Model,Parameters,Train Time (s),Epochs,MAE,RMSE,R2,Directional Accuracy,Hit Rate,Sharpe,Strategy Return,Max Drawdown,Notes
Custom Transformer,Custom Transformer,277377.0,3.69419264793396,7.0,0.3500142395496368,0.3539341509264999,-69.45912170410156,0.5644699140401146,0.5644699140401146,1.7527435211050182,2.694752216339112,-0.7979198098182678,Price-Aware Attention
Custom Transformer,Custom Transformer,277377.0,4.656346321105957,9.0,0.0916113331913948,0.1020524649960273,-4.857863426208496,0.5644699140401146,0.5644699140401146,1.7527435211050182,2.694752216339112,-0.7979198098182678,Price-Aware Attention
Custom Transformer,Custom Transformer,277377.0,2.4692721366882324,11.0,0.4252875447273254,0.4285771154554306,-102.31187438964844,0.4355300859598854,0.4355300859598854,-1.7527435211050182,-0.8561429381370544,-0.9107078909873962,Price-Aware Attention
Custom Transformer,Custom Transformer,277377.0,2.7645537853240967,13.0,0.09494099766016,0.1026371713586585,-4.925180912017822,0.4355300859598854,0.4355300859598854,-1.7527435211050182,-0.8561429381370544,-0.9107078909873962,Price-Aware Attention
Custom Transformer,Custom Transformer,277377.0,2.023900985717773,5.0,0.2800359725952148,0.2841593810491799,-44.416770935058594,0.5644699140401146,0.5644699140401146,1.7527435211050182,2.694752216339112,-0.7979198098182678,Price-Aware Attention
Adaptive Financial Transformer,Adaptive Financial Transformer,297009.0,52.83,4.0,0.131486028432846,0.1528511522903221,-12.141037940979004,0.5644699140401146,0.5644699140401146,1.7527435211050182,2.694752216339112,-0.7979198098182678,Dynamic gated adaptive financial attention
Adaptive Financial Transformer,Adaptive Financial Transformer,297009.0,52.83,4.0,0.131486028432846,0.1528511522903221,-12.141037940979004,0.5644699140401146,0.5644699140401146,1.7527435211050182,2.694752216339112,-0.7979198098182678,Dynamic gated adaptive financial attention
Adaptive Financial Transformer,Adaptive Financial Transformer,297009.0,52.83,4.0,0.131486028432846,0.1528511522903221,-12.141037940979004,0.5644699140401146,0.5644699140401146,1.7527435211050182,2.694752216339112,-0.7979198098182678,Dynamic gated adaptive financial attention
Adaptive Financial Transformer,Adaptive Financial Transformer,297009.0,52.83,4.0,0.131486028432846,0.1528511522903221,-12.141037940979004,0.5644699140401146,0.5644699140401146,1.7527435211050182,2.694752216339112,-0.7979198098182678,Dynamic gated adaptive financial attention
Feature Guided Transformer,Feature Guided Transformer,279457.0,23.31,17.0,0.032612957060337,0.0442305816071844,-0.1003669500350952,0.5214899713467048,0.5214899713467048,0.5392128898679048,0.2144924402236938,-0.7013385891914368,Dynamic gated adaptive financial attention
Adaptive Financial Transformer 2,Adaptive Financial Transformer 2,373143.0,35.11,7.0,0.0248206537216901,0.0306373895519175,0.0395440459251403,0.5459770114942529,0.5459770114942529,2.971212459202349,2.028169631958008,-0.4139614105224609,Dynamic gated adaptive financial attention
De-biased Adaptive Transformer,De-biased Adaptive Transformer,373143.0,12.69,1.0,0.7336497902870178,0.7539672431584484,-575.5194091796875,0.5775862068965517,0.5775862068965517,2.472790128294492,1.7022051811218262,-0.5685036778450012,Dynamic gated adaptive financial attention
Multi-Objective AFT,Multi-Objective AFT,373143.0,19.04,2.0,0.02701173909008503,0.034757553795104465,-0.22520101070404053,0.5775862068965517,0.5775862068965517,2.472790128294492,1.7022051811218262,-0.5685036778450012,Dynamic gated adaptive financial attention
Hyperparameter Optimization,Optimized AFT (Regression),187463,0.00,35.0,0.0310287680476904,0.0424504354596138,-0.0321274995803833,0.4498644986449865,0.4498644986449865,-0.7730275344478043,-0.2274761795997620,-0.3418795764446259,Optuna MAE-focused optimization
Hyperparameter Optimization,Optimized AFT (Financial),316319,0.00,35.0,0.0297882352024317,0.0420426838099957,0.0321978926658630,0.5866261398176292,0.5866261398176292,1.1653291875065115,0.5607988834381104,-0.2244306355714798,Optuna financially-aware composite score optimization
