number,value,datetime_start,datetime_complete,duration,params_d_model,params_dropout,params_ff_multiplier,params_lr,params_num_heads,params_num_layers,params_seq_len,params_use_top40,params_wd,state
25,-2.6348173864947224,2026-06-27 22:39:46.409811,2026-06-27 22:39:59.166273,0 days 00:00:12.756462,96,0.3060328826386607,4,4.00799457723517e-05,8,2,80,False,4.888589185306892e-06,COMPLETE
26,-2.4416283743524096,2026-06-27 22:39:59.166273,2026-06-27 22:40:09.396379,0 days 00:00:10.230106,192,0.12087932275524502,2,1.5842600996635184e-05,4,3,80,False,0.00013400827847475302,COMPLETE
27,1.5380111282483102,2026-06-27 22:40:09.396379,2026-06-27 22:40:15.310308,0 days 00:00:05.913929,192,0.037889041426098995,4,2.9000228412211742e-05,8,2,40,False,7.036987442171005e-06,PRUNED
28,-1.1718998709083857,2026-06-27 22:40:15.310308,2026-06-27 22:40:27.210591,0 days 00:00:11.900283,96,0.350857477952505,4,0.00011686319946117941,8,3,20,True,0.0041754691975994076,PRUNED
29,-0.8611103797264896,2026-06-27 22:40:27.210591,2026-06-27 22:40:32.859661,0 days 00:00:05.649070,192,0.07567876602494437,4,0.00016230108916890572,8,2,40,False,1.5050825227519884e-06,PRUNED
30,1.210178129649687,2026-06-27 22:40:32.859661,2026-06-27 22:40:43.592402,0 days 00:00:10.732741,64,4.5436512833479936e-05,4,1.1485516186734431e-05,8,2,80,False,7.37185194931872e-05,PRUNED
31,0.1774165658456641,2026-06-27 22:40:43.592402,2026-06-27 22:40:52.343481,0 days 00:00:08.751079,96,0.2947399222364966,4,3.671333218865549e-05,8,2,80,False,4.804111811254169e-06,PRUNED
32,-2.3719598971320353,2026-06-27 22:40:52.343481,2026-06-27 22:41:00.975884,0 days 00:00:08.632403,96,0.3365718877647227,4,5.377234958696155e-05,8,2,80,False,2.006314073426234e-06,COMPLETE
33,-1.6157860350644848,2026-06-27 22:41:00.975884,2026-06-27 22:41:07.976479,0 days 00:00:07.000595,96,0.3904945770707096,4,1.765295537269776e-05,8,2,80,False,4.683277938894993e-06,COMPLETE
34,-1.0931738910224598,2026-06-27 22:41:07.976479,2026-06-27 22:41:21.138965,0 days 00:00:13.162486,96,0.2744227873952433,4,3.177784019633993e-05,8,2,80,False,1.4088664725648998e-05,COMPLETE
35,0.3831212517455282,2026-06-27 22:41:21.138965,2026-06-27 22:41:31.856948,0 days 00:00:10.717983,96,0.20745459870358024,4,2.2695488653542165e-05,8,3,20,False,5.3276595102707495e-06,PRUNED
36,-2.4780384028995837,2026-06-27 22:41:31.856948,2026-06-27 22:41:45.492997,0 days 00:00:13.636049,128,0.2564205804689139,4,7.143060523695978e-05,4,3,80,False,7.240769492583381e-06,COMPLETE
37,0.8816745640845292,2026-06-27 22:41:45.492997,2026-06-27 22:41:55.838371,0 days 00:00:10.345374,192,0.36705660323295813,4,5.292439305316409e-05,8,2,60,True,2.6460097362923138e-05,PRUNED
38,2.149837355496527,2026-06-27 22:41:55.838371,2026-06-27 22:42:01.691611,0 days 00:00:05.853240,160,0.3212754714511606,2,0.00032711074392216224,8,3,40,True,3.1567522599897e-06,PRUNED
