Model,Parameters,Train Time (s),Inference Time (s)
Baseline AFT,"373,143",17.87s ± 2.87s,0.0284s ± 0.0037s
Optimized AFT (Financial),"316,319",26.57s ± 11.84s,0.0314s ± 0.0051s
