Experiment,MAE,RMSE,R2,Directional Accuracy,Sharpe,Strategy Return,Max Drawdown
Baseline AFT,0.0316 ± 0.0010,0.0434 ± 0.0009,-0.0576 ± 0.0459,0.5284 ± 0.0575,0.2423 ± 0.6778,0.0579 ± 0.2537,-0.3202 ± 0.0500
No Market Regime Encoder,0.0321 ± 0.0011,0.0438 ± 0.0009,-0.0777 ± 0.0459,0.4779 ± 0.0393,-0.3936 ± 0.4399,-0.2124 ± 0.2388,-0.3776 ± 0.1315
Top-40 Features,0.0316 ± 0.0009,0.0434 ± 0.0008,-0.0617 ± 0.0407,0.5266 ± 0.0328,0.2370 ± 0.4041,-0.0055 ± 0.2030,-0.2939 ± 0.0602
