Model,Directional Accuracy,Sharpe Ratio,Strategy Return,Max Drawdown
Baseline AFT,51.23% ± 6.58%,0.1419 ± 0.7397,6.20% ± 25.55%,-31.40% ± 8.46%
Optimized AFT (Financial),51.67% ± 6.21%,0.1607 ± 0.6411,-2.89% ± 21.91%,-29.70% ± 3.94%
